特征变量,特征变量中文,目标变量,目标变量中文,配对样本数,Spearman系数,Spearman显著性p值,Pearson系数,Pearson显著性p值,排名
平均相对湿度_28d,平均相对湿度_28d,blight_index,大斑病病情指数,121,0.425041170566414,1.177452434226334e-06,0.36042064973050214,4.889952725231571e-05,5
平均相对湿度_7d,平均相对湿度_7d,blight_index,大斑病病情指数,121,0.4223511641062539,1.3972544674709745e-06,0.32871303479423936,0.000232183541063373,6
28天内高湿天数,28天内高湿天数,blight_index,大斑病病情指数,121,0.41005152733235833,2.9997388024650243e-06,0.4960314700717504,7.233285373361541e-09,7
累计降水_28d(mm),累计降水_28d(mm),blight_index,大斑病病情指数,121,0.38994011248702204,9.818561220876143e-06,0.1785988703355184,0.049997698756175095,8
平均短波辐射_28d,平均短波辐射_28d,blight_index,大斑病病情指数,121,-0.3575189859372278,5.678705235177842e-05,-0.26729424399556234,0.0030382528088770773,9
连续高湿天数,连续高湿天数,blight_index,大斑病病情指数,121,0.3459728937773911,0.0001015157487575539,0.2954927454170788,0.001000165735201047,10
平均短波辐射_28d,平均短波辐射_28d,white_incidence,白斑病发病株率,120,-0.5886574332728749,1.5397035417081875e-12,-0.5349811202298168,3.083031540336098e-10,1
平均相对湿度_28d,平均相对湿度_28d,white_incidence,白斑病发病株率,120,0.5253002888147104,7.283201894673422e-10,0.45572675997617007,1.6920864616152582e-07,2
平均相对湿度_21d,平均相对湿度_21d,white_incidence,白斑病发病株率,120,0.5110731318210261,2.4554258961976732e-09,0.4234398749599606,1.445056514774667e-06,3
28天内高湿天数,28天内高湿天数,white_incidence,白斑病发病株率,120,0.5007529046088963,5.729199244414766e-09,0.38861545105238104,1.1535582758120106e-05,4
平均相对湿度_14d,平均相对湿度_14d,white_incidence,白斑病发病株率,120,0.4948249383201451,9.204434419385178e-09,0.40194209803391173,5.354617290041607e-06,5
平均短波辐射_7d,平均短波辐射_7d,white_incidence,白斑病发病株率,120,-0.45258057523483486,2.106062001316316e-07,-0.4123969787907471,2.864177341839048e-06,6
