特征变量,特征变量中文,目标变量,目标变量中文,配对样本数,Spearman系数,Spearman显著性p值,Pearson系数,Pearson显著性p值
平均土壤相对湿度_7d,平均土壤相对湿度_7d,gray_index,灰斑病病情指数,118,-0.017665764670679915,0.8494099634162068,0.009735659960183298,0.9166670196382932
平均土壤相对湿度_7d,平均土壤相对湿度_7d,blight_incidence,大斑病发病株率,121,-0.06447860816621764,0.48228377042144166,-0.2159923860146301,0.01734025329200707
平均土壤相对湿度_7d,平均土壤相对湿度_7d,blight_index,大斑病病情指数,121,-0.0660310949059514,0.47177841411751925,-0.20143346306058157,0.02672369944231749
平均土壤相对湿度_7d,平均土壤相对湿度_7d,white_incidence,白斑病发病株率,120,0.10198714225502309,0.26768376124311777,0.021325735039343516,0.8171650126324908
平均土壤相对湿度_7d,平均土壤相对湿度_7d,white_index,白斑病病情指数,120,0.10721816937428481,0.24378186152630535,0.012984841588734213,0.8880604099089828
平均土壤相对湿度_21d,平均土壤相对湿度_21d,gray_incidence,灰斑病发病株率,119,0.058822459275774,0.5251318742482144,0.04155694403238798,0.6536180659395504
平均土壤相对湿度_21d,平均土壤相对湿度_21d,gray_index,灰斑病病情指数,118,0.09130328172556751,0.3254572571010632,0.09231865669150818,0.3200830964464976
平均土壤相对湿度_21d,平均土壤相对湿度_21d,blight_incidence,大斑病发病株率,121,0.012582052821422888,0.8910534217736725,-0.2075182870343987,0.02237571291820579
平均土壤相对湿度_21d,平均土壤相对湿度_21d,blight_index,大斑病病情指数,121,0.010548452298829891,0.908578491453115,-0.20302017125896216,0.02552565800577055
平均土壤相对湿度_21d,平均土壤相对湿度_21d,white_incidence,白斑病发病株率,120,0.22469695883616242,0.013613450245654992,0.12830315221221797,0.16254631991964147
平均土壤相对湿度_21d,平均土壤相对湿度_21d,white_index,白斑病病情指数,120,0.23060668672998108,0.011277538794033362,0.11778986016704497,0.20009428350605216
平均土壤相对湿度_28d,平均土壤相对湿度_28d,gray_incidence,灰斑病发病株率,119,0.06261346755679323,0.49873157396477735,0.06455613220055517,0.48547803830012976
平均土壤相对湿度_28d,平均土壤相对湿度_28d,gray_index,灰斑病病情指数,118,0.09844040803127203,0.2889028345382437,0.12117270157886105,0.1911847114002371
平均土壤相对湿度_28d,平均土壤相对湿度_28d,blight_incidence,大斑病发病株率,121,0.05973827564031083,0.5151228146453196,-0.19738213634249346,0.03000208955916682
平均土壤相对湿度_28d,平均土壤相对湿度_28d,blight_index,大斑病病情指数,121,0.05774950198366087,0.5292337860273346,-0.19199521246733037,0.03488470794165035
平均土壤相对湿度_28d,平均土壤相对湿度_28d,white_incidence,白斑病发病株率,120,0.2756411790722192,0.0023102139299600146,0.1668952400751426,0.0684686337975539
平均土壤相对湿度_28d,平均土壤相对湿度_28d,white_index,白斑病病情指数,120,0.28442662788167394,0.0016415673972071058,0.15835910961032837,0.08407826026730418
